Dates,NDX Index,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,ALGN,AMAT,AMD,AMGN,AMZN,ANSS,ASML,ATVI,AVGO,AZN,BIDU,BIIB,BKNG,CDNS,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSX,CTAS,CTSH,DDOG,DLTR,DOCU,DXCM,EA,EBAY,EXC,FAST,FB,FISV,FTNT,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KHC,KLAC,LCID,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MRNA,MRVL,MSFT,MTCH,MU,NFLX,NTES,NVDA,NXPI,ODFL,OKTA,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROST,SBUX,SGEN,SIRI,SNPS,SPLK,SWKS,TEAM,TMUS,TSLA,TXN,VRSK,VRSN,VRTX,WBA,WDAY,XEL,ZM,ZS,IDXX,SBAC,WYNN,TRIP,YHOO,MAT,TTWO,AKAM,DISCA,DISCK,NCLH,TSCO,VIAB,DISH,CA,XRAY,ESRX,HOLX,QRTEA,STX,SHPG,VOD,TFCF,TFCFA,CELG,HAS,HSIC,JBHT,VTRS,NLOK,AAL,WTW,UAL,CSGP,NTAP,WDC,BMRN,CTXS,EXPE,LBTYA,ULTA,ALXN,MXIM,CDW,CERN,CHKP,FOXA,FOX,INCY,TCOM,PTON,XLNX
3/1/2017,4911.33,29.038,,103.48,72.505,103.5,76.18,,,31.94,,150.73,753.67,,,36.64,178.34,,168.3,268.694,1477.57,,,285.77,34.525,159.73,,,30.54,11.9633,116.32,56.52,,77.45,,,79.17,29.84,,23.475,116.86,53.67,,74.16,786.14,808.01,,,131.13,36.6,114.75,71.31,25.82,,87.53,79.41,,107.26,,82.5,31.925,44.85,,45.54,,,62.58,,22.55,127.49,43.632,25.5025,,,,280.82,,61.06,65.32,,,40.25,65.4,379.7,65.61,55.35,,4.44,,,75.15,,58.2122,43.398,73.58,81.32,,74.89,82.96,,,,,117.6,,,47.51,38.9,28.48,,67.57,27.96,27.37,42.79,75.9,35.9,59.4524,32.29,58.62,69.4,40.15,14.2271,39.62,176,24.96,28,28.72,118.75,79.8,61.118,,39.11,24.01,46.3,,,,,69.43,85.84,71.7695,112.44,30.65,256.68,122.63,38.62,,49.4,84.57,,,102.32,40.49,,59.07
4/1/2017,4937.21,29.005,,104.14,72.36,103.66,77.52,,,32.24,,152.87,757.18,,,37.36,177.07,,171.96,270.85,1487.29,,,291.55,34.935,159.76,,,30.1,12.21,117.31,57.32,,79.45,,,80.63,29.76,,23.585,118.69,54.325,,76.38,786.9,807.77,,,135.18,36.41,114.98,69.943,25.85,,87.03,79.13,,107.32,,82.34,31.91,44.8,,46.02,,,62.3,,22.36,129.41,43.74,26.0975,,,,282.11,,61.29,66.22,,,41,65.47,383.11,66.55,55.99,,4.53,,,74.99,,58.7112,45.398,73.49,81.96,,77.05,82.98,,,,,115.95,,,48.86,40.06,29.26,,68.33,28.29,27.63,44.77,76.79,36.6,60.1496,32.81,59.1,71.14,40.03,14.3837,39.12,179.74,25.53,28.25,29.02,118.55,80.94,61.361,,39.63,24.22,46.7,,,,,70.54,86.87,71.881,113.74,31.35,260.92,127.11,39.03,,47.93,84.92,,,102.84,41.34,,58.64
5/1/2017,4964.95,29.153,,105.91,71.32,103.04,76.93,,,32.1,,152.98,780.45,,,37.94,174.28,,177.47,270.408,1503.7,,,296.17,35.075,162.91,,,30.17,12.33,116.28,57.09,,78.06,,,78.96,30.01,,23.31,120.67,54.305,,76.01,794.02,813.02,,,134.56,36.35,115.69,70.323,26.3,,86.53,78.42,,107.08,,81.78,31.295,45,,46.19,,,62.3,,22.11,131.81,45.842,25.435,,,,282.81,,60.85,65.14,,,41.06,65.55,380.92,65.69,56.46,,4.64,,,74.57,,57.5035,45.35,72.92,81.66,,79.06,83.03,,,,,115.96,,,49.2,41.34,30.94,,69.55,27.2,26.6,44.55,75.63,37.48,60.5181,33.08,58.33,70.87,39.79,14.0491,39.05,182,26.3,28.34,29,118.76,83.71,61.032,,39.16,24.65,45.89,,,,,70.55,86.29,71.8571,114.69,32.32,264.14,139.18,38.44,,47.65,86.66,,,104.81,42.8,,57.93
6/1/2017,5007.08,29.478,,108.3,71.6,103.11,79.3,,,32.04,,156.78,795.99,,,37.91,176.59,,176.38,271.725,1520.57,,,298.16,35.135,162.83,,,30.23,12.5067,116.7,57.87,,77.09,,,79.01,31.05,,23.255,123.41,54.915,,75.49,806.15,825.21,,,141.49,36.48,116.86,70.679,26.27,,86.31,79.13,,107.6,,82.3,31.84,45.06,,45.62,,,62.84,,22.04,131.07,45.392,25.775,,,,281.78,,61.27,65.88,,,41.45,65.53,358.68,65.31,57.13,,4.56,,,74.96,,56.665,45.802,74.15,82.38,,79.39,83.1,,,,,118.36,,,50.77,41.23,30.47,,69.79,27.48,26.86,44.25,75.16,37.79,61.1157,33.19,58.29,70.75,39.88,13.9921,38.49,180.11,26.23,28.85,29.52,119.64,82.87,61.216,,38.5,25.01,46.21,,,,,70.38,86.85,72.4703,116.45,33.34,263.3,143.61,39.74,,47.55,87.24,,,108.305,42.5,,59.05
9/1/2017,5024.9,29.748,,108.57,71.94,102.47,79.59,,,32.78,,158.84,796.92,,,37.7,176.97,,177.16,275.428,1529.64,,,296.26,35.415,160.97,,,30.18,12.33,115.48,56.58,,77.14,,,78.64,30.75,,23.085,124.9,54.05,,75.84,806.65,827.18,,,141.54,36.61,116.51,71.256,26.26,,86.07,79.59,,108.86,,82.25,32.21,44.69,,44.4,,,62.64,,22.34,130.95,46.98,26.82,,,,279.4,,61.02,65.07,,,41.4,65.65,355.06,65.45,58.2,,4.6,,,75.65,,56.5652,46.256,74.34,81.73,,82.86,82.55,,,,,119.02,,,50.92,41.34,30.52,,70,26.87,26.25,44.39,75.37,38.34,61.3946,33.25,58.47,71.56,40.05,13.8354,38.05,178.28,25.58,28.77,29.47,120.21,82.6,61.635,,38.95,24.99,47.08,,,,,71.86,91.03,72.2951,117.3,33.79,260.79,144.77,40.65,,47.99,87.2,,,118.525,43.24,,59.06
10/1/2017,5035.17,29.778,,108.26,72.35,102.2,79.98,,,33.13,,158.76,795.9,,,38.38,180.57,,180.31,274.295,1535.25,,,298.2,35.46,161.66,,,30.38,12.4733,114.78,56.66,,77.96,,,78.85,30.25,,23.255,124.35,54.115,,75.01,804.79,826.01,,,165.04,36.54,116.11,73.578,26.9,,85.91,79.33,,108.47,,81.93,32.425,44.17,,43.5,,,62.62,,22.48,129.89,47.996,26.6175,,,,281.3,,60.81,66.25,,,41.08,65.63,373,66.77,57.88,,4.63,,,77.31,,58.6314,45.974,74.6,82.26,,82.93,82.67,,,,,120.71,,,51.31,42.3,29.91,,70.28,26.34,25.76,45.22,76.35,38.4,61.4942,33.01,58.17,72.5,40.435,13.8568,37.63,177.25,26.03,28.92,29.67,119.98,82.86,61.964,,38.95,25.13,48.48,,,,,70.84,90.4,72.1836,117.62,34.01,262.5,143.67,40.89,,49.27,88.21,,,119.3,43.71,,58.53
11/1/2017,5050.21,29.938,,108.99,72.62,103.2,80.87,,,33.47,,156.62,799.02,,,39.2,179.42,,179.32,264.457,1536.11,,,299.54,35.855,161.54,,,30.15,12.68,115.32,57.01,,77.81,,,79.02,30.41,,23.715,126.09,54.27,,73.77,807.91,829.86,,,162.35,36.95,116.38,75.351,26.77,,86.76,80.27,,108.99,,82.84,33.24,45.07,,43.99,,,63.19,,22.79,130.5,47.854,26.29,,,,281.33,,61.15,66.8,,,41.28,66.1,364.47,66.55,58.1,,4.59,,,78.41,,57.3538,45.946,75.2,82.75,,81.93,84.43,,,,,121.12,,,51.66,42.59,29.51,,70.12,26.51,25.99,45.75,76.5,38.9,61.6436,33,57.65,72.09,40.69,13.7571,36.87,169.57,26.52,29.44,30.08,117.24,82.48,61.835,,37.28,25.47,48.64,,,,,71.45,86.07,72.9162,117.2,34.91,262.15,136.66,40.7,,50.51,88.49,,,115.29,43.97,,58.5
12/1/2017,5041.43,29.813,,108.59,72.22,103.8,80.65,,,33.31,,155.36,813.64,,,39.13,178.86,,177.57,265.065,1538.59,,,297.19,35.71,161.87,,,30.04,12.7933,114.4,56.99,,77.53,,,79.6,30.35,,24,126.62,54.71,,73.36,806.36,829.53,,,162.84,36.71,117.04,73.876,26.61,,87.42,80.1,,108.17,,81.89,33.24,44.89,,43.11,,,62.61,,22.31,129.18,47.086,25.86,,,,281.58,,61.34,66.33,,,41.56,66.12,364.44,66.59,58.03,,4.58,,,76.75,,57.0443,45.918,74.85,82.32,,82.39,83.92,,,,,120.64,,,51.88,42.11,29.59,,69.93,27.2,26.65,45.35,75.95,38.53,62.0321,33.06,57,71.86,40.17,13.7073,36.75,168.73,26.65,29.08,29.81,117.08,83.45,61.588,,36.77,25.7,48.1,,,,,70.75,86.16,72.5419,118.01,34.92,260.95,137.35,40.47,,51.31,89.19,,,117.55,43.36,,58.03
13/1/2017,5059.51,29.76,,108.53,72.67,103.77,81.32,,,33.79,,156.12,817.14,,,38.95,180.45,,176.48,262.284,1545.82,,,298.43,36.385,161.86,,,30.07,12.9333,114.56,56.52,,77.13,,,80.35,30.29,,24.025,128.34,55.15,,73.07,807.88,830.94,,,162.57,36.79,117.1,73.857,26.84,,87.03,81.44,,110.54,,82.64,33.17,44.6,,44.51,,,62.7,,22.18,133.7,47.536,25.8575,,,,279.15,,61.47,67.52,,,41.6,66.88,368.16,66.93,57.85,,4.61,,,78.33,,57.0843,47.55,75,82.63,,83.17,83.82,,,,,120.8,,,52.92,42.27,29.52,,70.02,27.4,26.82,44.95,76.05,38.7,62.0221,33.09,57.82,71.8,40.18,13.6574,36.9,170.22,26.53,29.25,30.03,117.48,83.86,62.341,,36.73,26.14,47.65,,,,,71,86.92,73.0993,118.81,34.98,261.4,136.93,41.47,,51.35,90.71,,,117.75,43.53,,58.51
17/1/2017,5044.65,30,,108,72.28,103.07,78.62,,,33.3,,154.8,809.72,,,38.95,179.11,,176.96,260.681,1540.13,,,306.14,36.28,163.81,,,29.99,12.6967,113.67,56.58,,79.51,,,80.23,30.29,,24.1275,127.87,55.22,,71.91,804.61,827.46,,,160.47,36.8,116.09,73.749,27.21,,87.92,80,,109.1,,82.38,32.475,44.9,,43.94,,,62.53,,21.74,132.89,48.616,25.2775,,,,278.76,,60.85,66.92,,,41.27,64.19,363.24,67.12,58,,4.57,,,76.89,,56.9445,47.116,74.49,81.55,,81.55,84.22,,,,,120.01,,,52.6,41.99,30.91,,69.79,27.81,27.14,44.74,77.36,38.69,61.9125,32.8,58.17,73.16,39.93,13.7429,37.02,168.17,26.24,29.25,29.93,114.95,85.17,62.235,,37.07,26.2,46.75,,,,,71.62,85.21,72.3827,118.58,34.69,263.06,135.3,40.73,,52.54,90.39,,,113.64,44.17,,57.73
18/1/2017,5055.85,29.998,,108.79,73.01,102.91,79.71,,,33.69,,155.77,807.48,,,39.08,185.02,,176.54,261.233,1541.86,,,303.69,36.145,164.27,,,30.03,12.2933,113.97,57.36,,77.31,,,80.53,30.39,,25.53,127.92,55.04,,72.13,806.07,829.02,,,161.23,36.76,115.79,73.674,27.16,,88.35,81.63,,111.24,,83,33.25,45.03,,43.46,,,62.5,,22.32,133.26,47.156,25.7375,,,,280.81,,61.04,66.31,,,41.35,65.13,362.95,66.9,58.45,,4.6,,,79.27,,58.5515,47.672,74.38,81.08,,82.52,84.12,,,,,118.9,,,52.88,42.03,30.47,,69.6,28.01,27.4,45.67,76.41,39.76,61.1058,32.7,56.55,72.67,39.95,13.75,37.24,166.41,25.97,29.52,30.27,115.22,84.55,62.592,,37.19,26.41,47.64,,,,,73.24,87.16,74.5008,119.34,34.53,265.5,135.87,41.22,,52.29,89.61,,,115.09,43.99,,58.14
19/1/2017,5051.17,29.945,,109.79,72.44,102.97,79.98,,,33.75,,153.8,809.04,,,38.86,185.56,,176.09,258.231,1539.02,,,306.13,36.305,163.7,,,29.98,15.17,113.74,56.65,,76.26,,,80.38,30.72,,25.275,127.55,54.675,,71.57,802.175,824.37,,,160.58,36.57,115.95,73.118,27.75,,87.85,81.15,,110.84,,84.53,32.845,44.59,,43.35,,,62.3,,21.71,138.41,47.796,26.29,,,,275.05,,60.9,65.74,,,41.27,64.44,363.41,65.96,57.89,,4.59,,,78.46,,59.9589,48.752,73.88,80.92,,80.91,83.49,,,,,120.28,,,52.16,42.09,30.07,,68.98,28,27.35,45.62,74.79,39.8,61.4345,32.55,55.67,72.45,39.6,13.4224,36.34,164.11,25.84,29.21,29.8,113.62,83.77,61.823,,36.95,26.56,47.26,,,,,71.67,86.15,73.7603,118.84,34.94,266.12,134.35,40.58,,51.64,96.34,,,117.53,43.54,,57.98
20/1/2017,5063.2,30,,110.71,72.88,103.24,81.67,,,33.84,,154.67,808.33,,,38.97,191.08,,173.44,258.516,1545.01,,,308.44,36.785,164.24,,,30.1,14.7767,113.88,56.85,,76.56,,,80.12,30.64,,25.62,127.04,54.785,,71.01,805.02,828.17,,,159.74,36.94,117.1,72.972,27.6,,88.95,81.56,,112.35,,84.38,33.465,45.2,,43.51,,,62.74,,21.96,138.6,48.468,26.0025,,,,274.01,,61.47,66,,,41.69,62.88,362.56,66,57.66,,4.59,,,88.67,,59.5098,48.946,74.75,81.36,,81.37,81.72,,,,,118.88,,,51.85,42.05,30.02,,69.15,27.89,27.31,45.63,75.22,40.23,59.9006,32.57,56.01,71.75,39.35,13.3797,36.47,161.71,25.79,29.55,30.05,112.66,83.99,61.498,,37.07,26.65,48,,,,,72.63,84.62,74.0469,119.92,34.87,266.22,131.97,41.39,,51.87,97.79,,,117.22,43.36,,58.03
23/1/2017,5065.7,30.02,,110.97,72.78,102.2,81.54,,,33.75,,152.72,817.88,,,38.53,191,,175.97,254.242,1554.99,,,308.7,36.63,163.01,,,30.27,15.33,113.84,56.17,,75.55,,,79.88,30.27,,25.49,128.93,54.33,,70.69,819.31,844.43,,,160.89,36.77,117.1,72.781,28.18,,88.8,82.1,,112.77,,84.37,33.515,44.86,,43.52,,,62.96,,21.89,137.39,49.718,26.2725,,,,264.99,,61.11,65.47,,,41.62,54.88,354.36,65.11,57.76,,4.59,,,90.17,,60.1286,49.784,75.73,81.18,,81.4,81.55,,,,,117.74,,,51.39,42.4,30.24,,67.97,28.27,27.58,46,74.71,40.32,61.2153,32.45,55.59,70.61,39.26,13.4224,36.37,163.15,25.93,29.51,30,112.31,83.92,60.89,,36.03,26.76,46.94,,,,,72.65,83.3,73.6169,119.99,34.93,266.02,131.49,41.39,,50.79,97.79,,,117.42,43.29,,57.96
24/1/2017,5101.06,29.993,,113.72,73.51,103.24,82,,,34.03,,151.85,822.44,,,39.1,197.75,,176.05,252.216,1563.33,,,308.35,36.8,163.67,,,30.6,15.5633,115.51,56.61,,76.88,,,80.51,29.99,,25.405,129.37,54.26,,70.25,823.87,849.53,,,160.48,37.62,118.75,74.006,28.54,,88.69,82.8,,114.64,,84.51,33.95,44.93,,43.71,,,63.52,,22.85,140.11,50.89,26.8325,,,,267.46,,61.87,66.7,,,41.96,55,347.96,66.11,58.44,,4.63,,,92.27,,60.1087,50.922,77.08,82.17,,82.24,81.23,,,,,118.51,,,52.13,43.9,31.19,,67.74,28.49,27.8,46.84,75.16,41.11,62.1815,32.95,56.21,71.4,39.38,13.6218,37.44,164.54,25.45,29.79,30.28,112.45,85.45,61.506,,35.81,27.35,47.54,,,,,76.01,84.34,75.1458,120.22,34.96,268.81,129.87,42.03,,51.22,98.89,,,118.3,43.88,,58.915
25/1/2017,5151.47,30.47,,114.25,74.54,102.7,82.65,,,34.42,,154.1,836.52,,,39.56,202.48,,176.61,251.682,1578.82,,,310.31,36.72,164.14,,,30.7,15.93,116.75,57.55,,76.89,,,81.48,30.23,,25.395,131.48,54.27,,71.91,835.67,858.45,,,161.07,37.8,120.01,77.778,28.59,,88.84,84.67,,116.92,,85.61,34.41,45.09,,43.13,,,63.68,,23.56,139.52,50.318,26.9475,,,,266.07,,61.62,68.4,,,41.71,56.9,348.93,65.96,58.7,,4.675,,,91.87,,60.6277,50.894,78.58,82.69,,85.19,82.03,,,,,121.4,,,52.65,44.94,31.56,,68.73,27.58,27.05,48.09,75.23,40.99,61.9823,31.31,56.91,69.62,40.27,13.7714,42.67,167.18,24.8,29.8,30.3,113.98,86.76,62.827,,36.48,27.26,47.91,,,,,80.02,83.85,76.2367,120.86,35.23,272.01,129.46,42.23,,52.27,96.63,,,120.91,43.62,,59.56
26/1/2017,5156.92,30.485,,112.88,74.2,102.04,81.64,,,33.98,,152.98,839.15,,,39.47,204.17,,174.95,256.886,1581.44,,,333.15,37.75,164.07,,,30.74,16.2,117.39,56.27,,76.17,,,81.7,31.74,,25.185,132.78,53.925,,71.22,832.15,856.98,,,160.13,37.56,118.46,76.396,28.32,,89.41,83.25,,114.33,,85.84,33.815,44.61,,42.67,,,64.27,,23.52,138.96,50.388,27.4125,,,,263,,61.45,68.08,,,41.5,54.05,340.75,65.57,58.46,,4.75,,,91.01,,63.2528,50.502,79.26,82.53,,85.33,81.27,,,,,119.61,,,52.18,44.55,25.99,,67.78,27.9,27.28,49.33,74.99,41.85,57.789,31.34,56.6,69.22,40.17,13.6361,43.9,165.04,24.64,30.59,31,111.53,81.51,62.407,,36.1,27.21,49.59,,,,,78.47,85.28,71.2838,121.23,35.92,272.42,128.2,41.97,,52.43,98.15,,,120.64,43.38,,57.37
27/1/2017,5168.06,30.488,,113.99,76.93,101.71,81.76,,,35.04,,157.16,835.77,,,39.61,205.71,,174.1,256.26,1602.92,,,323.55,37.975,162.06,,,30.98,16.02,117.29,56.13,,74.05,,,83.16,32.51,,25.085,132.18,54.05,,71.26,823.31,845.03,,,160.99,37.98,118.59,76.81,28.36,,89.43,86.16,,118.24,,86.08,34.38,44.2,,42.3,,,65.78,,23.97,142.45,50.578,27.9425,,,,263.79,,61.17,67.59,,,40.27,54.24,346.5,65.33,56.12,,4.75,,,92.01,,62.3046,50.59,78.03,82.68,,87.37,81.5,,,,,121.66,,,52,44.42,26.49,,67.97,28.06,27.41,49.02,74.36,41.97,59.044,31.13,56.57,67.59,40.58,13.5435,44.5,164.87,24.58,30.85,31.29,113.62,82.59,62.576,,36.66,27.35,46.95,,,,,79.52,86.56,71.873,122,36.62,271.44,129.23,44.71,,53.02,99.46,,,121.72,43.4,,58.49
30/1/2017,5129.33,30.408,,113.82,76.28,101.97,81.16,,,34.34,,154.43,830.38,,,39.61,203.22,,174.72,254.279,1602.31,,,324.8,37.67,163.25,,,30.83,15.83,116.2,53.66,,75.25,,,83.84,32.17,,25.1,130.98,54.075,,71.51,802.32,823.83,,,159.28,37.42,118.53,76.681,28.56,,89.08,86.25,,116,,85.26,34.53,44.43,,42.43,,,65.13,,24.18,141.22,50.098,27.505,,,,261.89,,60.81,67.62,,,39.86,53.61,344.5,65.39,55.9,,4.76,,,92.99,,61.017,50.126,77.9,82.74,,84.38,81.48,,,,,120.5,,,52.25,43.93,26.32,,67.81,27.98,27.4,48.03,74.48,42.46,59.1038,31.13,56.34,68.11,40.14,13.6503,44.9,164.32,24.9,30.98,31.37,113.18,83.37,62.055,,36.34,27.27,44.9,,,,,79.22,85.54,72.5658,121.53,36.62,270.18,128.05,45.01,,52.94,98.45,,,118.23,43.4,,59.1
31/1/2017,5116.77,30.338,,113.38,74.94,100.99,81.34,,,34.25,,156.68,823.48,,,40.21,199.5,,175.07,255.366,1575.13,,,323.95,37.71,163.95,,,30.72,15.4633,116.11,52.59,,77.19,,,83.43,31.83,,24.84,130.32,53.715,,72.45,796.79,820.19,,,160.1,36.82,118.58,76.966,28.4,,89.29,85.11,,114.86,,84.6,33.675,44.28,,42.6,,,64.65,,24.11,140.71,50.78,27.295,,,,262.27,,60.29,67.31,,,39.78,53.43,359.29,66.11,55.22,,4.72,,,91.74,,62.1549,50.386,75.54,82.64,,85.87,81.94,,,,,122.33,,,52.9,44.07,26.21,,68.59,28.35,27.71,47,73.67,42.14,58.9344,31.27,56.7,68.88,40.53,13.6574,45.15,167.81,24.9,31.01,31.38,116.15,82.51,62.658,,38.05,27.55,44.25,,,,,79.73,87.63,72.6136,121.59,36.48,272.28,130.68,44.48,,53.71,98.77,,,121.21,43.21,,58.2
1/2/2017,5152.69,32.188,,113.36,76.17,95.25,81.28,,,35.03,,159.67,832.35,,,40.47,203.69,,173.82,259.465,1575.31,,,326.85,37.805,161.86,,,30.5,15.6967,114.85,52.45,,76.39,,,83,32.18,,24.81,133.23,52.69,,72.82,795.695,815.24,,,161.58,36.52,117.71,77.447,28.13,,88.41,86.04,,117.74,,84.64,34.205,43.89,,41.82,,,63.58,,24.75,140.78,50.764,28.4875,,,,254.35,,58.52,68.63,,,39.31,53.15,364.17,65.88,53.9,,4.77,,,91.74,,63.143,49.848,76.27,81.76,,86.24,81.04,,,,,122.8,,,51.87,43.78,25.51,,68.7,28.04,27.4,48.08,72.37,41.65,60.8966,30.95,56.9,69.11,40.85,13.4224,44.78,170.39,24.8,31.24,31.62,117.41,82.13,62.658,,38.66,27.25,44.05,,,,,79.16,88.59,71.24,120.77,36.23,269.54,132.32,44.76,,53.86,97.91,,,124.27,43.01,,57.39
2/2/2017,5147.7,32.133,,113.16,75.23,96.32,82.76,,,34.94,,159.58,839.95,,,40.47,204.05,,173.4,264.23,1574.09,,,324.41,37.545,168.15,,,31.18,15.4367,115.22,51.68,,77.2,,,82.51,31.97,,24.5,130.84,52.73,,72.25,798.53,818.26,,,162.89,36.68,117.83,77.796,28.17,,88.61,87.36,,117.23,,84.5,34.39,44.01,,41.81,,,63.17,,24.79,139.2,51.198,28.8475,,,,256.69,,58.55,67.59,,,39.58,52.66,360.56,65.64,53.87,,4.75,,,91.11,,61.0369,50.31,75.89,82.15,,86.72,80.59,,,,,139.07,,,52.06,43.69,25.77,,69.4,27.79,27.16,47.66,73.71,41.58,61.046,31.43,56.52,66.69,39.47,13.3299,45.27,166.95,24.69,31.16,31.46,115.54,82.44,63.191,,39,27.76,44.01,,,,,79.23,88.38,74.95,120.59,36.29,270.75,128.38,44.54,,53.62,98.43,,,120.92,42.79,,58.14
3/2/2017,5161.6,32.27,,115.17,75.52,96.87,84.41,,,35.31,,167.53,810.2,,,40.01,206.16,,175.17,264.67,1583.38,,,328.71,37.63,168.32,,,31.32,15.5967,116.11,52.5,,76.69,,,81.28,32.07,,24.52,130.98,53.36,,72.34,801.49,820.13,,,162.15,36.52,118.37,78.014,28.32,,89.27,87.59,,117.65,,85.45,34.715,44.36,,42.64,,,63.68,,24.6,140.25,51,28.595,,,,259.84,,57.97,68.49,,,39.59,52.98,358.26,65.96,55.06,,4.8,,,91.56,,61.2465,50.266,76.5,83.52,,86.73,80.47,,,,,142.02,,,52.61,43.71,25.82,,69.55,28.09,27.44,47.74,73.28,41.9,61.6038,31.86,57.14,67.09,39.58,13.3512,46.29,168.2,24.63,31.09,31.4,115.64,82.63,63.756,,39.21,28.41,44.2,,,,,79.13,88.81,76.7,121.53,36.52,272.06,126.98,44.67,,53.66,99.4,,,120.34,42.9,,58.22
6/2/2017,5167.96,32.572,,114.46,75.53,96.47,82.82,,,35.18,,166.58,807.64,,,40.19,206.56,,177.81,264.91,1587.18,,,322.6,37.27,167.03,,,31.3,15.7533,114.96,52.76,,75.12,,,81.52,32.03,,25.195,132.06,53.425,,72.39,801.34,821.62,,,162.52,36.27,117.89,78.329,28.54,,88.7,87,,117.16,,85.65,34.585,44.01,,42.73,,,63.64,,24.34,140.97,51.734,29.3275,,,,258.4,,57.62,68.07,,,39.74,52.88,362,66.34,55.73,,4.775,,,91.39,,60.8473,51.554,76.22,83.27,,87.42,80.8,,,,,142.01,,,51.96,44.42,25.92,,69.71,27.97,27.24,47.52,73.28,41.82,60.7372,31.84,57.26,67.4,39.34,13.3868,45.44,166.82,24.42,30.72,31.06,116.09,94.31,63.728,,39.98,28.26,45.3,,,,,78.94,88.74,76.3,122.05,36.13,273.08,128.19,44.84,,54.05,98.96,,,119.68,43.05,,58.23
7/2/2017,5185.88,32.883,,114.96,76.31,96.29,84.5,,,35.54,,166.82,812.5,,,40.05,205.91,,178.17,266.11,1598.7,,,323.37,37.43,167.52,,,31.45,15.8933,114.79,53.79,,75.21,,,82.21,32.43,,24.905,131.84,53.21,,73.13,806.97,829.23,,,162.85,36.35,117.48,78.249,28.81,,88.81,87.66,,117,,85.81,34.81,43.93,,43.08,,,63.43,,24.6,144,51.606,29.7825,,,,262.19,,57.57,67.63,,,40.02,53.27,357.69,66.36,55.24,,4.715,,,91.78,,61.7756,51.496,76.18,83.01,,86.84,81.43,,,,,143.13,104.79,,51.96,44.37,25.88,,71.12,27.99,27.25,47.7,73.18,41.67,60.1795,31.49,57.43,67.74,39.33,13.2658,46.1,170.41,24.45,30.16,30.48,116.26,94.98,64.273,98.51,39.39,28.44,45.17,,,,,79.05,88.91,77.65,122.34,35.54,272.49,127.72,45.47,,53.6,100.27,,,118.18,42.91,,58.09
8/2/2017,5196.58,33.01,,116.13,77.48,96.58,82.93,,,35.6,,168.12,819.71,,,39.19,206.89,,181.5,268.74,1601.19,,,325.73,37.345,168.42,,,31.27,15.9867,114.35,56.45,,76.66,,,81.48,33.25,,24.91,134.2,53.89,,66.83,808.38,829.88,,,162.96,36.38,116.55,78.074,28.98,,89.19,86.87,,115.87,,86.36,36.9,44.47,,43.67,,,63.34,,24.21,144.74,53.104,29.6525,,,,271.65,,57.65,66.84,,,40.88,52.89,353.25,67.67,55.22,,4.7,,,91.69,,61.7756,52.416,75.95,83.61,,87.72,81.53,,,,,141.11,106.86,,51.89,45.07,25.95,,63.55,27.53,26.78,47.86,73.03,42.07,60.6177,31.34,57.32,67.62,39.16,13.3299,45.8,170.66,24.87,29.82,30.21,115.35,96.62,64.128,98.19,39.19,28.61,45.06,,,,,77.08,90.9,77.69,122.84,35.4,272.82,126.37,45.14,,52.93,99.56,,,122.73,43.11,,58.23
9/2/2017,5212.16,33.105,,116.44,76.51,97.65,83.88,,,35.41,,167.47,821.36,,,39.73,205.34,,181.5,270.44,1611.83,,,325.07,37.515,170.96,,,31.5,15.9167,115.36,58,,79.39,,,83.26,33.12,,25.125,134.14,54.735,,65.59,809.56,830.06,,,163.14,35.46,116.09,78.376,29.01,,89.78,86.74,,116,,86.79,35.465,44.7,,43.78,,,64.06,,24.45,144.14,51.512,29.095,,,,274.78,,58.49,68.19,,,40.83,52.88,360,68.17,55.81,,4.705,,,92.47,,62.1349,53.84,75.3,84.07,,89.27,82.38,,,,,142.11,107.63,,52.51,45.08,25.83,,63.85,27.96,27.22,48.06,73.54,43.89,60.8269,31.59,58.61,67.48,40.12,13.6005,46.37,171.82,25.29,29.71,30.12,116.74,97.74,64.614,98.82,39.3,28.99,46.3,,,,,78.05,91.15,78.42,123.25,35.19,272.87,127.08,44.88,,53.88,100.45,,,122.96,43.39,,57.94
